epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.74709,3.1869,4.34894,3.54524,0,0,0,0,2.62331,4.15828,2.49113,0.00021435,0.00021435,0.00021435
2,10.1364,2.16971,3.66498,2.22126,0,0,0,0,1.86739,3.92508,1.71443,0.000442113,0.000442113,0.000442113
3,12.8561,1.59812,2.32985,1.84174,0.30019,0.28519,0.3038,0.21813,1.60143,3.33274,1.52719,0.00066897,0.00066897,0.00066897
4,15.346,1.21562,1.56942,1.6381,0.66667,0.20295,0.4348,0.31334,1.36544,3.1709,1.42442,0.000894922,0.000894922,0.000894922
5,17.8022,1.08468,1.41394,1.60006,0.66017,0.48684,0.57571,0.48056,1.02123,2.67308,1.36718,0.00111997,0.00111997,0.00111997
6,20.3828,1.02698,1.25003,1.52758,0.53181,0.74144,0.65587,0.57101,0.91256,2.71952,1.61585,0.00134411,0.00134411,0.00134411
7,23.1103,0.90678,1.09779,1.44625,0.75977,0.65391,0.68948,0.57058,0.85089,1.47386,1.31097,0.00141202,0.00141202,0.00141202
8,25.6504,0.85926,1.0329,1.4309,0.69791,0.74182,0.7227,0.60005,0.79046,1.15701,1.20853,0.00140919,0.00140919,0.00140919
9,28.1003,0.83761,0.97514,1.43772,0.70202,0.73206,0.70238,0.59099,0.76523,1.2268,1.13439,0.00140636,0.00140636,0.00140636
10,30.6031,0.81399,0.88218,1.40323,0.67697,0.79202,0.68525,0.5876,0.73653,2.29649,1.19002,0.00140354,0.00140354,0.00140354
11,33.1835,0.77706,0.82823,1.38441,0.80444,0.7904,0.7754,0.62481,0.68506,0.89335,1.17589,0.00140071,0.00140071,0.00140071
12,35.8525,0.77084,0.79068,1.37612,0.83836,0.86585,0.83778,0.65312,0.66234,0.617,1.18921,0.00139788,0.00139788,0.00139788
13,38.3188,0.75046,0.7603,1.3393,0.87563,0.94976,0.9239,0.68584,0.64683,0.74074,1.14889,0.00139505,0.00139505,0.00139505
14,40.9389,0.70976,0.69711,1.32904,0.88486,0.94754,0.92783,0.7119,0.62176,0.6826,1.18087,0.00139222,0.00139222,0.00139222
15,43.6516,0.67107,0.65185,1.31297,0.90602,0.94564,0.9317,0.67928,0.65721,0.51804,1.13228,0.00138939,0.00138939,0.00138939
16,46.2116,0.70978,0.66014,1.30865,0.93898,0.94879,0.96105,0.7096,0.61039,0.43903,1.07638,0.00138656,0.00138656,0.00138656
17,48.6733,0.67498,0.62477,1.3351,0.87073,0.96988,0.91644,0.69458,0.63966,0.51492,1.12143,0.00138373,0.00138373,0.00138373
18,51.1731,0.66972,0.59519,1.26555,0.96256,0.96354,0.97215,0.73999,0.60692,0.43889,1.10219,0.0013809,0.0013809,0.0013809
19,53.6873,0.67087,0.57877,1.25923,0.94556,0.97731,0.97491,0.72677,0.6181,0.42542,1.09008,0.00137807,0.00137807,0.00137807
20,56.1988,0.67613,0.58872,1.28768,0.972,0.97179,0.98319,0.74629,0.61297,0.38064,1.06001,0.00137524,0.00137524,0.00137524
21,58.6063,0.63882,0.55563,1.28714,0.96979,0.98506,0.98331,0.75375,0.59661,0.41659,1.08842,0.00137241,0.00137241,0.00137241
22,61.1429,0.64748,0.5513,1.25555,0.98644,0.9688,0.99042,0.76395,0.58491,0.40945,1.07732,0.00136958,0.00136958,0.00136958
23,63.7739,0.63587,0.54841,1.31463,0.99091,0.99445,0.99334,0.75484,0.59531,0.36818,1.04573,0.00136675,0.00136675,0.00136675
24,66.108,0.63171,0.52171,1.2702,0.99822,0.98446,0.99393,0.77395,0.56354,0.36375,1.04739,0.00136392,0.00136392,0.00136392
25,68.6475,0.64018,0.53904,1.30276,0.9969,0.99252,0.9948,0.76117,0.58792,0.36177,1.04087,0.00136109,0.00136109,0.00136109
26,71.184,0.63589,0.52906,1.26197,0.99385,0.98673,0.99485,0.77006,0.54548,0.3524,1.02857,0.00135826,0.00135826,0.00135826
